#TAK ADSB IDs RUSSIA Civilian EMS, Fire, special
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"


"1407bd","a-a-A-C-H","RA-01981","AW139","Rossiya State Carrier"
"1407be","a-a-A-C-H","RA-01982","AW139","Rossiya State Carrier"
"145798","a-a-A-C-H","RA-22424","Mi-8AMT","Russian Railways"
"145ede","a-a-A-C-H","RA-24286","Mi-8T","Rossiya State Carrier"
"146231","a-a-A-C-H","RF-94992","Mi-8,"Russian Ministry of the Interior"
"1464e0","a-a-A-C-H","RA-25824","Mi-8 AMT-1","Russian Railways"
"14fa33","a-a-A-C-F","RA-64051","Tu-204 100S","Russian Post"
"14fa34","a-a-A-C-F","RA-64052","Tu-204 100S","Russian Post"
"150011","a-a-A-C-F","RF-65553","Tu-134A3","Russian Ministry of the Interior"
"1500c5","a-a-A-C-F","RA-65733","Tu-134B3","Russian Federal Tax Service"
"151ccb","a-a-A-C-F","RF-72907","An-72","Russian Ministry of the Interior"
"151cd5","a-a-A-C-F","RF-72917","An-72","Russian Ministry of the Interior"
"151cda","a-a-A-C-F","RF-72922","An-72","Russian Ministry of the Interior"
"151cdb","a-a-A-C-F","RF-72923","An-72","Russian Ministry of the Interior"
"151cdc","a-a-A-C-F","RF-72924","An-72","Russian Ministry of the Interior"
"151d10","a-a-A-C-F","RF-72976","An-72","Russian Ministry of the Interior"
"151d13","a-a-A-C-F","RF-72979","An-72","Russian Ministry of the Interior"
"152c02","a-a-A-C-F","RF-76802","IL-76MD","Russian Ministry of the Interior"
"152c03","a-a-A-C-F","RF-76803","IL-76MD","Russian Ministry of the Interior"
"152c04","a-a-A-C-F","RF-76804","IL-76MD","Russian Ministry of the Interior"
"152c1a","a-a-A-C-F","RF-76826","IL-76MD","Russian Ministry of the Interior"
"152c1b","a-a-A-C-F","RF-76827","IL-76MD","Russian Ministry of the Interior"
"152c1c","a-a-A-C-F","RF-76828","IL-76MD","Russian Ministry of the Interior"
"152c1d","a-a-A-C-F","RF-76829","IL-76TD","Russian Ministry of the Interior"
"154c8f","a-a-A-C-F","RF-85135","Tu-154M","Russian Ministry of the Interior"
"154ee7","a-a-A-C-F","RF-85735","Tu-154M","Russian Ministry of the Interior"
"155367","a-a-A-C-F","RF-86887","IL-76M","Russian Ministry of the Interior"
"155368","a-a-A-C-F","RF-86888","IL-76M","Russian Ministry of the Interior"
"15538d","a-a-A-C-F","RF-86925","IL-76MD","Russian Ministry of the Interior"
"155c3f","a-a-A-C-F","RF-89151","SSJ100","Russian Ministry of the Interior"
"4ca9d5","a-a-A-C-F","EI-ETN","A319-111","Rossiya State Carrier"
"4ca9d6","a-a-A-C-F","EI-ETO","A319-111","Rossiya State Carrier"
"4ca9d7","a-a-A-C-F","EI-ETP","A319-112","Rossiya State Carrier"
