#TAK ADSB IDs RUSSIA Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"142280","a-a-A-M-F-C-H","RA-08832","An-22A","Russian Air Force"
"14245d","a-a-A-M-F-C-H","RF-09309","An-22A","Russian Air Force"
"142470","a-a-A-M-F-C-H","RF-09328","An-22A","Russian Air Force"
"14247d","a-a-A-M-F-C-H","RA-09341","An-22A","Russian Air Force"
"142480","a-a-A-M-F-C-H","RA-09344","An-22A","Russian Air Force"
"142b1d","a-a-A-M-F-C-M","RA-11037","An-12BP","Russian Air Force"
"142baa","a-a-A-M-F-C-M","RA-11178","An-12BP","Russian Air Force"
"142be8","a-a-A-M-F-C-M","RA-11240","An-12BP","Russian Air Force"
"142bfc","a-a-A-M-F-C-M","RF-95428","An-12BK","Russian Air Force"
"142c02","a-a-A-M-F-C-M","RA-11266","An-12BP","Russian Air Force"
"142c0f","a-a-A-M-F-C-M","RA-11279","An-12","Russian Air Force"
"142c17","a-a-A-M-F-C-M","RA-11287","An-12BP","Russian Air Force"
"142c1a","a-a-A-M-F-C-M","RA-11290","An-12","Russian Air Force"
"142c4f","a-a-A-M-F-C-M","RA-11343","An-12BK","Russian Air Force"
"142c50","a-a-A-M-F-C-M","RA-11344","An-12BP","Russian Air Force"
"142c5e","a-a-A-M-F-C-M","RA-11358","An-12TB","Russian Navy"
"142c81","a-a-A-M-F-C-M","RA-11393","An-12BP","Russian Air Force"
"142c94","a-a-A-M-F-C-M","RA-11412","An-12BP","Russian Air Force"
"142c95","a-a-A-M-F-C-M","RA-11413","An-12BP","Russian Air Force"
"142c96","a-a-A-M-F-C-M","RF-94210","An-12BK","Russian Air Force"
"142c9c","a-a-A-M-F-C-M","RF-94211","An-12BK","Russian Air Force"
"142ca1","a-a-A-M-F-C-M","RA-11425","An-12BK","Russian Air Force"
"142ca7","a-a-A-M-F-C-M","RA-11431","An-12BP","Russian Air Force"
"142d11","a-a-A-M-F-C-M","RA-11537","An-12BP","Russian Air Force"
"142d51","a-a-A-M-F-C-M","RA-11601","An-12BP","Russian Air Force"
"142d84","a-a-A-M-F-C-M","RA-11652","An-12BP","Russian Air Force"
