#TAK ADSB IDs AUSTRALIA Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator","icontype"

"7c79a9","a-f-A-M-H-U-M","VH-YBF","AW.139","AUS A",""
"7c79aa","a-f-A-M-H-U-M","VH-YBG","AW.139","AUS A",""
"7cf830","a-f-A-M-F-C-M","A97-440","C-130J-30","AUS AF",""
"7cf831","a-f-A-M-F-C-M","A97-441","C-130J-30","AUS AF",""
"7cf832","a-f-A-M-F-C-M","A97-442","C-130J-30","AUS AF",""
"7cf833","a-f-A-M-F-C-M","A97-447","C-130J-30","AUS AF",""
"7cf834","a-f-A-M-F-C-M","A97-448","C-130J","AUS AF",""
"7cf837","a-f-A-M-F-C-M","A97-464","C-130J-30","AUS AF",""
"7cf838","a-f-A-M-F-C-M","A97-465","C-130J","AUS AF",""
"7cf839","a-f-A-M-F-C-M","A97-466","C-130J-30","AUS AF",""
"7cf83a","a-f-A-M-F-C-M","A97-467","C-130J-30","AUS AF",""
"7cf83b","a-f-A-M-F-C-M","A97-468","C-130J","AUS AF",""
"7cf83c","a-f-A-M-F-T","A27-002","Hawk","AUS AF #trainer",""
"7cf83d","a-f-A-M-F-T","A27-003","Hawk","AUS AF #trainer",""
"7cf83e","a-f-A-M-F-T","A27-004","Hawk","AUS AF #trainer",""
"7cf848","a-f-A-M-F-T","A27-014","Hawk","AUS AF #trainer",""
"7cf84d","a-f-A-M-F-T","A27-019","Hawk","AUS AF #trainer",""
"7cf850","a-f-A-M-F-T","A27-18","Hawk","AUS AF #trainer",""
"7cf854","a-f-A-M-F-T","A27-027","Hawk","AUS AF #trainer",""
"7cf859","a-f-A-M-F-T","A27-032","Hawk","AUS AF #trainer",""
"7cf85b","a-f-A-M-F-T","A27-034","Hawk","AUS AF #trainer",""
"7cf85c","a-f-A-M-F-U-M","A36-001","B737-7DT","AUS AF",""
"7cf85d","a-f-A-M-F-U-M","A36-002","B737-7DF","AUS AF",""
"7cf864","a-f-A-M-F-K","A39-001","A330 203MRTT","AUS AF",""
"7cf865","a-f-A-M-F-K","A39-002","A330 203MRTT","AUS AF",""
"7cf866","a-f-A-M-F-K","A39-003","A330 203MRTT","AUS AF",""
"7cf867","a-f-A-M-F-K","A39-004","A330 203MRTT","AUS AF",""
"7cf868","a-f-A-M-F-K","A39-005","A330 203MRTT","AUS AF",""
"7cf869","a-f-A-M-F-C-H","A41-206","C-17A","AUS AF",""
"7cf86a","a-f-A-M-F-C-H","A41-207","C-17A","AUS AF",""
"7cf86b","a-f-A-M-F-C-H","A41-208","C-17A","AUS AF",""
"7cf86c","a-f-A-M-F-C-H","A41-209","C-17A","AUS AF",""
"7cf86d","a-f-A-M-F-U-L","A32-426","Beech 350","AUS AF",""
"7cf89d","a-f-A-M-H-U-M","A40-045","MRH-90","AUS ?",""
"7cf8eb","a-f-A-M-F-U-L","A32-651","Beech 350","AUS AF",""
"7cf8ec","a-f-A-M-F-U-L","A32-670","King Air B350","AUS AF",""
"7cf8ed","a-f-A-M-F-U-L","A32-671","Beech 350","AUS AF",""
"7cf8ef","a-f-A-M-F-U-L","A32-675","King Air B350","AUS AF",""
"7cf8f0","a-f-A-M-F-R-W","A30-001","E-7A","AUS AF",""
"7cf8f2","a-f-A-M-F-R-W","A30-003","E-7A","AUS AF",""
"7cf8f3","a-f-A-M-F-R-W","A30-004","E-7A","AUS AF",""
"7cf8f4","a-f-A-M-F-R-W","A30-005","E-7A","AUS AF",""
"7cf91d","a-f-A-M-F-P","A9-660","AP-3C","AUS AF",""
"7cf922","a-f-A-M-F-C-H","A41-210","C-17","AUS AF",""
"7cf98d","a-f-A-M-F-C-M","A34-001","C-27J","AUS AF",""
"7cf98e","a-f-A-M-F-C-M","A34-002","C-27J","AUS AF",""
"7cf98f","a-f-A-M-F-C-M","A34-003","C-27J","AUS AF",""
"7cf990","a-f-A-M-F-C-M","A34-004","C-27J","AUS AF",""
"7cf991","a-f-A-M-F-C-M","A34-005","C-27J","AUS AF",""
"7cf992","a-f-A-M-F-C-M","A34-006","C-27J","AUS AF",""
"7cf993","a-f-A-M-F-C-M","A34-007","C-27J","AUS AF",""
"7cf994","a-f-A-M-F-C-M","A34-008","C-27J","AUS AF",""
"7cf995","a-f-A-M-F-C-M","A34-009","C-27J","AUS AF",""
"7cf996","a-f-A-M-F-C-M","A34-010","C-27J","AUS AF",""
"7cf99b","a-f-A-M-H-C-H","A15-303","CH-47F","AUS A",""
"7cf9a1","a-f-A-M-H-S","N48-002","MH-60R","AUS N",""
"7cf9a3","a-f-A-M-H-S","N48-004","MH-60R","AUS N",""
"7cf9a4","a-f-A-M-H-S","N48-005","MH-60R","AUS N",""
"7cf9a6","a-f-A-M-H-S","N48-007","MH-60R","AUS N",""
"7cf9a7","a-f-A-M-H-S","N48-008","MH-60R","AUS N",""
"7cf9a8","a-f-A-M-H-S","N48-009","MH-60R","AUS N",""
"7cf9ab","a-f-A-M-H-S","N48-012","MH-60R","AUS N",""
"7cf9ac","a-f-A-M-H-S","N48-013","MH-60R","AUS N",""
"7cf9ae","a-f-A-M-H-S","N48-015","MH-60R","AUS N",""
"7cf9b5","a-f-A-M-H-S","N48-022","MH-60R","AUS N",""
"7cf9c4","a-f-A-M-F-C-H","A41-212","C-17A","AUS AF",""
