#TAK ADSB IDs GERMANY Law enforcement
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"3da0dc","a-f-A-C-H","D-GHEA","P68","DEU Federal POL #LEO"
"3dd2fd","a-f-A-C-H","D-HADP","BK117D2","DEU Federal POL #LEO"
"3dd4f4","a-f-A-C-H","D-HAWY","BO105S","DEU State POL-Hessen #LEO"
"3dd518","a-f-A-C-H","D-HAYI","BO105S","DEU State POL-North Rhine Westphalia #LEO"
"3dd576","a-f-A-C-H","D-HBBY","EC135P2+","DEU State POL-Berlin Brandenburg #LEO"
"3dd577","a-f-A-C-H","D-HBBZ","EC135P2+","DEU State POL-Berlin Brandenburg #LEO"
"3dd6ca","a-f-A-C-H","D-HBPA","EC135P2+","DEU State POL-Bavaria #LEO"
"3dd6cb","a-f-A-C-H","D-HBPB","EC135P3","DEU State POL-Bavaria #LEO"
"3dd6cc","a-f-A-C-H","D-HBPC","EC135P2+","DEU State POL-Bavaria #LEO"
"3dd6cd","a-f-A-C-H","D-HBPD","EC135P2+","DEU State POL-Bavaria #LEO"
"3dd6cf","a-f-A-C-H","D-HBPF","EC135P2+","DEU State POL-Bavaria #LEO"
"3dd6d0","a-f-A-C-H","D-HBPG","EC135P2+","DEU State POL-Bavaria #LEO"
"3dd6d1","a-f-A-C-H","D-HBPH","EC135P2+","DEU State POL-Bavaria #LEO"
"3dd720","a-f-A-C-H","D-HBSI","BO105S","DEU State POL-Bavaria #LEO"
"3dd785","a-f-A-C-H","D-HBWF","MD900","DEU Federal POL #LEO"
"3dd794","a-f-A-C-H","D-HBWU","BK117D2","DEU State POL-Baden-Wurttemberg #LEO"
"3dd795","a-f-A-C-H","D-HBWV","BK117D2","DEU State POL-Baden-Wurttemberg #LEO"
"3dd796","a-f-A-C-H","D-HBWW","BK117D2","DEU State POL-Baden-Wurttemberg #LEO"
"3dd797","a-f-A-C-H","D-HBWX","BK117D2","DEU State POL-Baden-Wurttemberg #LEO"
"3dd798","a-f-A-C-H","D-HBWY","BK117D2","DEU State POL-Baden-Wurttemberg #LEO"
"3dd799","a-f-A-C-H","D-HBWZ","BK117D2","DEU State POL-Baden-Wurttemberg #LEO"
"3dd7b5","a-f-A-C-H","D-HBYB","EC135P1","DEU State POL-Bavaria #LEO"
"3dd7b7","a-f-A-C-H","D-HBYD","EC135P1","DEU State POL-Bavaria #LEO"
"3dddcc","a-f-A-C-H","D-HEGA","AS332L1","DEU Federal POL #LEO"
"3dddce","a-f-A-C-H","D-HEGC","AS332L1","DEU Federal POL #LEO"
"3dddcf","a-f-A-C-H","D-HEGD","AS332L","DEU Federal POL #LEO"
"3dddd0","a-f-A-C-H","D-HEGE","AS332L1","DEU Federal POL #LEO"
"3dddd1","a-f-A-C-H","D-HEGF","AS332L","DEU Federal POL #LEO"
"3dddd2","a-f-A-C-H","D-HEGG","AS332L","DEU Federal POL #LEO"
"3dddd3","a-f-A-C-H","D-HEGH","AS332L1","DEU Federal POL #LEO"
"3dddd4","a-f-A-C-H","D-HEGI","AS332L","DEU Federal POL #LEO"
"3dddd6","a-f-A-C-H","D-HEGK","AS332L1","DEU Federal POL #LEO"
"3dddd7","a-f-A-C-H","D-HEGL","AS332L1","DEU Federal POL #LEO"
"3dddd8","a-f-A-C-H","D-HEGM","AS332L1","DEU Federal POL #LEO"
