#TAK ADSB IDs DEUY Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"12abcd","a-f-A-M-H-A","74+21","EC665","DEU A"
"3E801E","a-f-A-M-H-C-M","79+18","NH-90","DEU A"
"3e80a8","a-f-A-M-F-F","46+50","Tornado ECR","DEU AF"
"3e80b2","a-f-A-M-F-F","30+72","EF-2000","DEU AF"
"3E8130","a-f-A-M-F-C-H","50+79","C-160D","DEU AF"
"3E8137","a-f-A-M-F-F","31+24","EF-2000","DEU AF"
"3e819e","a-f-A-M-F-F","43+29","Tornado IDS","DEU AF"
"3e81a7","a-f-A-M-F-F","30+70","EF-2000","DEU AF"
"3e81c4","a-f-A-M-F-F","30+63","EF-2000","DEU AF"
"3e820a","a-f-A-M-F-C-H","50+61","C-160D","DEU AF"
"3e8210","a-f-A-M-F-C-H","50+81","C-160D","DEU AF"
"3E826F","a-f-A-M-F-C-H","54+15","A400M","DEU AF"
"3E82EA","a-f-A-M-H-C-M","79+39","NH-90","DEU A"
"3e833a","a-f-A-M-F-F","31+45","EF-2000","DEU AF"
"3e83c4","a-f-A-M-F-C-H","50+17","C-160D","DEU AF"
"3e848e","a-f-A-M-F-F","31+20","EF-2000","DEU AF"
"3e84cd","a-f-A-M-F-F","30+69","EF-2000","DEU AF"
"3E854F","a-f-A-M-F-V","10+03","A350-900","DEU AF"
"3E857E","a-f-A-M-H-C-M","79+10","NH-90","DEU A"
"3E8656","a-f-A-M-F-F","30+38","EF-2000","DEU AF"
"3E865F","a-f-A-M-F-C-H","54+22","A400M","DEU AF"
"3e86cd","a-f-A-M-F-F","46+46","Tornado ECR","DEU AF"
"3e86df","a-f-A-M-F-F","30+81","EF-2000","DEU AF"
"3E873E","a-f-A-M-F-F","44+21","Tornado","DEU AF"
"3e8767","a-f-A-M-F-C-H","51+06","C-160D","DEU AF"
"3e8779","a-f-A-M-F-C-H","50+40","C-160D","DEU AF"
"3e87ae","a-f-A-M-F-F","45+57","Tornado IDS","DEU AF"
"3e881f","a-f-A-M-F-C-H","50+79","C-160D","DEU AF"
"3e8879","a-f-A-M-F-C-H","50+79","C-160D","DEU AF"
"3e8964","a-f-A-M-F-F","30+47","EF-2000","DEU AF"
"3E89E7","a-f-A-M-F-V","16+02","A340-300","DEU AF"
"3E8A4A","a-f-A-M-H-C-M","78+29","NH-90","DEU A"
"3e8a4f","a-f-A-M-F-F","45+57","Tornado","DEU AF"
"3e8a58","a-f-A-M-F-F","44+23","Tornado IDS","DEU AF"
"3e8a99","a-f-A-M-F-F","30+29","EF-2000","DEU AF"
"3e8aa3","a-f-A-M-F-F","31+00","EF-2000","DEU AF"
"3e8aa5","a-f-A-M-F-F","31+17","EF-2000","DEU AF"
"3E8AED","a-f-A-M-F-F","30+56","EF-2000","DEU AF"
"3E8B13","a-f-A-M-H-U-L","76+04","EC-645T2","DEU AF"
"3E8B35","a-f-A-M-H-U-L","76+13","EC645T2","DEU AF"
"3E8B41","a-f-A-M-F-C-H","54+13","A400M","DEU AF"
"3e8bce","a-f-A-M-F-F","46+54","Tornado ECR","DEU AF"
"3e8be4","a-f-A-M-F-C-H","50+78","C-160D","DEU AF"
"3e8c08","a-f-A-M-F-F","30+79","EF-2000","DEU AF"
"3e8c14","a-f-A-M-F-F","31+00","EF-2000","DEU AF"
"3E8C6B","a-f-A-M-H-C-M","79+21","NH-90","DEU A"
"3E8C85","a-f-A-M-H-C-H","84+58","CH-53G","DEU AF"
"3E8CCC","a-f-A-M-H-C-H","85+08","CH-53G","DEU AF"
"3E8CD3","a-f-A-M-F-F","30+96","EF-2000","DEU AF"
