#TAK ADSB IDs INDIA Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator","icontype"

"800204","a-f-A-M-F-C-M","K2685","An-32","IND AF",""
"800208","a-f-A-M-F-C-M","K2728","An-32","IND AF",""
"800215","a-f-A-M-F-C-M","K2749","An-32RE","IND AF",""
"80021e","a-f-A-M-F-C-M","K2755","An-32","IND AF",""
"80021f","a-f-A-M-F-C-M","KA3068","An-32","IND AF",""
"800237","a-f-A-M-F-C-M","K2725","An-32","IND AF",""
"80024b","a-f-A-M-F-C-M","K2740","An-32","IND AF",""
"800255","a-f-A-M-F-C-M","K2737","An-32","IND AF",""
"800266","a-f-A-M-F-C-M","K2754","An-32","IND AF",""
"800269","a-f-A-M-F-U-M","HM667","Do 228","IND AF",""
"80026a","a-f-A-M-F-U-M","HM668","Do 228","IND AF",""
"80026d","a-f-A-M-F-U-M","HM671","Do 228","IND AF",""
"80026e","a-f-A-M-F-U-M","HM673","Do 228","IND AF",""
"800270","a-f-A-M-F-U-M","HM674","Do 228","IND AF",""
"800271","a-f-A-M-F-U-M","HM675","Do 228","IND AF",""
"800273","a-f-A-M-F-U-M","HM677","Do 228","IND AF",""
"800274","a-f-A-M-F-U-M","HM678","Do 228","IND AF",""
"800275","a-f-A-M-F-U-M","HM679","Do 228","IND AF",""
"800276","a-f-A-M-F-U-M","HM680","Do 228","IND AF",""
"800277","a-f-A-M-F-P","HM681","Do 228","IND AF",""
"80027d","a-f-A-M-F-U-M","HM687","Do 228 201","IND AF",""
"80027e","a-f-A-M-F-U-M","HM688","Do 228","IND AF",""
"800290","a-f-A-M-F-U-M","H1175","HAL.748","IND AF",""
"800298","a-f-A-M-F-U-M","H2066","HAL.748","IND AF",""
"80029b","a-f-A-M-F-U-M","H1516","HAL.748","IND AF",""
"80029e","a-f-A-M-F-U-M","H1519","HAL.748","IND AF",""
"8002a0","a-f-A-M-F-U-M","H1522","HAL.748","IND AF",""
"8002a5","a-f-A-M-F-U-M","H1527","HAL.748","IND AF",""
"8002a7","a-f-A-M-F-U-M","H1529","HAL.748","IND AF",""
"8002a9","a-f-A-M-F-P","CG773","Do 228","IND CG",""
"8002aa","a-f-A-M-F-U-M","H2177","HAL.748","IND AF",""
"8002ab","a-f-A-M-F-U-M","H2179","HAL.748","IND AF",""
"8002ac","a-f-A-M-F-U-M","H2180","HAL.748","IND AF",""
"8002ad","a-f-A-M-F-U-M","H2181","HAL.748","IND AF",""
"8002af","a-f-A-M-F-U-M","H2183","HAL.748","IND AF",""
"8002b2","a-f-A-M-F-U-M","H2373","HAL.748","IND AF",""
"8002b6","a-f-A-M-F-U-M","H2377","HAL.748","IND AF",""
"8002b7","a-f-A-M-F-U-M","H2378","HAL.748","IND AF",""
"8002b8","a-f-A-M-F-U-M","H2379","HAL.748","IND AF",""
"8002b9","a-f-A-M-F-U-M","H2381","HAL.748","IND AF",""
"8002be","a-f-A-M-F-K","KJ-3451","IL-78 MKI","IND AF",""
"8002c4","a-f-A-M-F-U-M","HM693","Do 228","IND AF",""
"8002c5","a-f-A-M-F-U-M","HM694","Do 228","IND AF",""
"8002c7","a-f-A-M-F-U-M","IN236","Do 228","IND N",""
"8002c8","a-f-A-M-F-P","IN237","Do 228","IND N",""
"8002ca","a-f-A-M-F-P","IN239","Do 228","IND N",""
"8002cb","a-f-A-M-F-U-M","K3601","ERJ-135","IND AF",""
"8002cc","a-f-A-M-F-U-M","K3602","ERJ-135","IND AF",""
"8002cd","a-f-A-M-F-U-M","K3603","ERJ-135","IND AF",""
"8002ce","a-f-A-M-F-U-M","K3604","ERJ-135BJ","IND AF",""
"8002d6","a-f-A-M-F-K","KJ-3449","IL-78 MKI","IND AF",""
"8002d8","a-f-A-M-F-C-H","KI2664","IL-76MD","IND AF",""
"8002d9","a-f-A-M-F-C-H","K2665","IL-76MD","IND AF",""
"8002db","a-f-A-M-F-C-H","KI2878","IL-76MD","IND AF",""
"8002dc","a-f-A-M-F-C-H","K2879","IL-76MD","IND AF",""
"8002e9","a-f-A-M-F-K","KJ-3452","IL-78 MKI","IND AF",""
"8002f6","a-f-A-M-F-U-M","K5012","B737-7HI","IND AF",""
"8002f8","a-f-A-M-F-U-M","IN244","Do 228","IND N",""
"8002fb","a-f-A-M-F-U-M","K5014","B737-7HI","IND AF",""
"80030b","a-f-A-M-F-U-M","HM706","Do 228","IND AF",""
"80030d","a-f-A-M-F-P","IN321","P-8I","IND N",""
"80030e","a-f-A-M-F-P","IN322","P-8I","IND N",""
"80030f","a-f-A-M-F-P","IN323","P-8I","IND N",""
"800311","a-f-A-M-F-P","IN325","P-8I","IND N",""
"800318","a-f-A-M-F-C-M","K2696","An-32RE","IND AF",""
"80031c","a-f-A-M-F-C-M","KA2708","An-32RE","IND AF",""
"800321","a-f-A-M-F-P","CG783","Do 228 101","IND CG",""
"80032f","a-f-A-M-F-R-W","KW3554","R-99A","IND AF",""
"800330","a-f-A-M-F-R-W","KM3555","R-99A","IND AF",""
"800332","a-f-A-M-F-C-M","KC-3801","C-130J","IND AF",""
"800333","a-f-A-M-F-C-M","KC-3802","C-130J","IND AF",""
"800335","a-f-A-M-F-C-M","KC-3804","C-130J-30","IND AF",""
"800336","a-f-A-M-F-C-M","KC-3805","C-130J-30","IND AF",""
"800337","a-f-A-M-F-C-M","KC-3806","C-130J-30","IND AF",""
"800338","a-f-A-M-F-C-M","K2668","AN-32","IND AF",""
