#TAK ADSB IDs NETHERLANDS Military
#Copyright 2021 Stefan Gofferje
#With contributions from Robert W.
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"


"4802db","a-f-A-M-F-F","J-643","F-16","NLD AF"
"480401","a-f-A-M-F-F","J-001","F-16","NLD AF"
"480402","a-f-A-M-F-F","J-002","F-16","NLD AF"
"480403","a-f-A-M-F-F","J-003","F-16","NLD AF"
"480404","a-f-A-M-F-F","J-004","F-16","NLD AF"
"480405","a-f-A-M-F-F","J-005","F-16","NLD AF"
"480406","a-f-A-M-F-F","J-006","F-16","NLD AF"
"480407","a-f-A-M-F-F","J-008","F-16","NLD AF"
"480408","a-f-A-M-F-F","J-009","F-16","NLD AF"
"480409","a-f-A-M-F-F","J-010","F-16","NLD AF"
"48040a","a-f-A-M-F-F","J-011","F-16","NLD AF"
"48040c","a-f-A-M-F-F","J-013","F-16","NLD AF"
"48040d","a-f-A-M-F-F","J-014","F-16","NLD AF"
"48040e","a-f-A-M-F-F","J-015","F-16","NLD AF"
"48040f","a-f-A-M-F-F","J-016","F-16","NLD AF"
"480410","a-f-A-M-F-F","J-017","F-16","NLD AF"
"480411","a-f-A-M-F-F","J-018","F-16","NLD AF"
"480412","a-f-A-M-F-F","J-019","F-16","NLD AF"
"480413","a-f-A-M-F-F","J-020","F-16","NLD AF"
"480414","a-f-A-M-F-F","J-021","F-16","NLD AF"
"480415","a-f-A-M-F-F","J-055","F-16","NLD AF"
"480416","a-f-A-M-F-F","J-057","F-16","NLD AF"
"480419","a-f-A-M-F-F","J-060","F-16","NLD AF"
"48041a","a-f-A-M-F-F","J-061","F-16","NLD AF"
"48041b","a-f-A-M-F-F","J-062","F-16","NLD AF"
"48041c","a-f-A-M-F-F","J-063","F-16","NLD AF"
"48041d","a-f-A-M-F-F","J-064","F-16","NLD AF"
"48041e","a-f-A-M-F-F","J-065","F-16","NLD AF"
"48041f","a-f-A-M-F-F","J-066","F-16","NLD AF"
"480420","a-f-A-M-F-F","J-067","F-16","NLD AF"
"480422","a-f-A-M-F-F","J-135","F-16","NLD AF"
"480423","a-f-A-M-F-F","J-136","F-16","NLD AF"
"480429","a-f-A-M-F-F","J-142","F-16","NLD AF"
"48042b","a-f-A-M-F-F","J-144","F-16","NLD AF"
"48042c","a-f-A-M-F-F","J-145","F-16","NLD AF"
"48042d","a-f-A-M-F-F","J-146","F-16","NLD AF"
"48042f","a-f-A-M-F-F","J-193","F-16","NLD AF"
"480431","a-f-A-M-F-F","J-196","F-16","NLD AF"
"480432","a-f-A-M-F-F","J-197","F-16","NLD AF"
"480432","a-f-A-M-F-F","J-197","F-16","NLD AF"
"480434","a-f-A-M-F-F","J-199","F-16","NLD AF"
"480435","a-f-A-M-F-F","J-201","F-16","NLD AF"
"480435","a-f-A-M-F-F","J-201","F-16","NLD AF"
"480436","a-f-A-M-F-F","J-202","F-16","NLD AF"
"48043c","a-f-A-M-F-F","J-208","F-16","NLD AF"
"48043d","a-f-A-M-F-F","J-209","F-16","NLD AF"
"48043e","a-f-A-M-F-F","J-210","F-16","NLD AF"
"480440","a-f-A-M-H-C-H","D-479","CH-47F","NLD AF"
"480441","a-f-A-M-H-C-H","D-480","CH-47F","NLD AF"
"480442","a-f-A-M-H-C-H","D-481","CH-47F","NLD AF"
"480443","a-f-A-M-H-C-H","D-482","CH-47F","NLD AF"
"480444","a-f-A-M-H-C-H","D-483","CH-47F","NLD AF"
"480445","a-f-A-M-H-C-H","D-484","CH-47F","NLD AF"
"480446","a-f-A-M-H-C-H","D-485","CH-47F","NLD AF"
"480447","a-f-A-M-H-C-H","D-601","CH-47F","NLD AF"
"480448","a-f-A-M-H-C-H","D-602","CH-47F","NLD AF"
"480449","a-f-A-M-H-C-H","D-603","CH-47F","NLD AF"
"48044a","a-f-A-M-H-C-H","D-604","CH-47F","NLD AF"
"48044b","a-f-A-M-H-C-H","D-605","CH-47F","NLD AF"
"48044c","a-f-A-M-H-C-H","D-606","CH-47F","NLD AF"
"480473","a-f-A-M-F-F","J-362","F-16","NLD AF"
"480477","a-f-A-M-F-F","J-366","F-16","NLD AF"
"480478","a-f-A-M-F-F","J-367","F-16","NLD AF"
"480479","a-f-A-M-F-F","J-368","F-16","NLD AF"
"48047a","a-f-A-M-F-F","J-369","F-16","NLD AF"
"48047b","a-f-A-M-F-F","J-508","F-16","NLD AF"
"48047c","a-f-A-M-F-F","J-509","F-16","NLD AF"
"48047d","a-f-A-M-F-F","J-510","F-16","NLD AF"
"48047e","a-f-A-M-F-F","J-511","F-16","NLD AF"
