#TAK ADSB IDs NZL Civilian, EMS, etc.
#Copyright 2021 Stefan Gofferje
#Additional credits: Christian Elsen
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator","icontype"

"c80010","a-f-A-C-H","ZK-ICU","BK117D3","NZL Otago Rescue Helicopter - Air 8 Dunedin #EMS","EMS_ROTOR_RESCUE"
"c80f67","a-f-A-C-H","ZK-IBK","BK117B2","NZL Otago Rescue Helicopter - Air 1 Te Anau #EMS","EMS_ROTOR_RESCUE"
"c811df","a-f-A-C-H","ZK-HJC","BK117B2","NZL Canterbury West Coast Air Rescue - Air 1 West Coast #EMS","EMS_ROTOR_RESCUE"
"c812df","a-f-A-C-H","ZK-IMN","BK117B2","NZL Marlborough Rescue Helicopter #EMS","EMS_ROTOR_RESCUE"
"c81395","a-f-A-C-H","ZK-HJK","BK117B2","NZL Otago Rescue Helicopter - Air 7 Dunedin #EMS","EMS_ROTOR_RESCUE"
"c813b6","a-f-A-C-H","ZK-HUP","BK117B2","NZL Otago Rescue Helicopter - Air 1 Queenstown #EMS","EMS_ROTOR_RESCUE"
"c819e3","a-f-A-C-H","ZK-IRM","AS.350B3","SNZL outhern Lakes Helicopters #EMS","EMS_ROTOR_RESCUE"
"c81bea","a-f-A-C-H","ZK-HKZ","BK117B2","NZL Auckland Rescue Helicopter #EMS","EMS_ROTOR_RESCUE"
"c81c60","a-f-A-C-H","ZK-IME","BK117B2","NZL Otago Rescue Helicopter - Air 6 Dunedin #EMS","EMS_ROTOR_RESCUE"
"c81d25","a-f-A-C-F","ZK-FDR","Beechcraft 200C","NZL Flying Doctors Service #EMS","EMS_FIXED_WING"
"c81e04","a-f-A-C-H","ZK-IPT","BK117B2","NZL Palmerston North - Air 1 Manawatu #EMS","EMS_ROTOR_RESCUE"
"c81e3c","a-f-A-M-F-H","ZK-SAR","Cessna 182T","NZL CG #SAR",""
"c81e82","a-f-A-C-F","ZK-FDN","Beechcraft C90","NZL Flying Doctors Service #EMS","EMS_FIXED_WING"
"c82058","a-f-A-C-H","ZK-IRU","BK117B2","NZL Wellington - Air 1 Te Upoko #EMS","EMS_ROTOR_RESCUE"
