#TAK ADSB IDs RUSSIA Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"142280","a-h-A-M-F-C-H","RA-08832","An-22A","RUS AF"
"14245d","a-h-A-M-F-C-H","RF-09309","An-22A","RUS AF"
"142470","a-h-A-M-F-C-H","RF-09328","An-22A","RUS AF"
"14247d","a-h-A-M-F-C-H","RA-09341","An-22A","RUS AF"
"142480","a-h-A-M-F-C-H","RA-09344","An-22A","RUS AF"
"142b1d","a-h-A-M-F-C-M","RA-11037","An-12BP","RUS AF"
"142baa","a-h-A-M-F-C-M","RA-11178","An-12BP","RUS AF"
"142be8","a-h-A-M-F-C-M","RA-11240","An-12BP","RUS AF"
"142bfc","a-h-A-M-F-C-M","RF-95428","An-12BK","RUS AF"
"142c02","a-h-A-M-F-C-M","RA-11266","An-12BP","RUS AF"
"142c0f","a-h-A-M-F-C-M","RA-11279","An-12","RUS AF"
"142c17","a-h-A-M-F-C-M","RA-11287","An-12BP","RUS AF"
"142c1a","a-h-A-M-F-C-M","RA-11290","An-12","RUS AF"
"142c4f","a-h-A-M-F-C-M","RA-11343","An-12BK","RUS AF"
"142c50","a-h-A-M-F-C-M","RA-11344","An-12BP","RUS AF"
"142c5e","a-h-A-M-F-C-M","RA-11358","An-12TB","RUS N"
"142c81","a-h-A-M-F-C-M","RA-11393","An-12BP","RUS AF"
"142c94","a-h-A-M-F-C-M","RA-11412","An-12BP","RUS AF"
"142c95","a-h-A-M-F-C-M","RA-11413","An-12BP","RUS AF"
"142c96","a-h-A-M-F-C-M","RF-94210","An-12BK","RUS AF"
"142c9c","a-h-A-M-F-C-M","RF-94211","An-12BK","RUS AF"
"142ca1","a-h-A-M-F-C-M","RA-11425","An-12BK","RUS AF"
"142ca7","a-h-A-M-F-C-M","RA-11431","An-12BP","RUS AF"
"142d11","a-h-A-M-F-C-M","RA-11537","An-12BP","RUS AF"
"142d51","a-h-A-M-F-C-M","RA-11601","An-12BP","RUS AF"
"142d84","a-h-A-M-F-C-M","RA-11652","An-12BP","RUS AF"
"142d85","a-h-A-M-F-C-M","RA-11653","An-12BP","RUS AF"
"142d86","a-h-A-M-F-C-M","RA-11654","An-12BP","RUS AF"
"142d8c","a-h-A-M-F-C-M","RA-11660","An-12BP","RUS AF"
"142d94","a-h-A-M-F-C-M","RA-11668","An-12BP","RUS AF"
"142d9a","a-h-A-M-F-C-M","RA-11674","An-12BP","RUS AF"
"142da0","a-h-A-M-F-C-M","RA-11680","An-12BP","RUS AF"
"142dc7","a-h-A-M-F-C-M","RA-11719","An-12BP","RUS AF"
"142dd4","a-h-A-M-F-C-M","RA-11732","An-12BP","RUS AF"
"142dde","a-h-A-M-F-C-M","RA-11742","An-12BP","RUS AF"
"142deb","a-h-A-M-F-C-M","RA-11755","An-12BP","RUS AF"
"142e10","a-h-A-M-F-C-M","RA-11792","An-12BP","RUS AF"
"142e20","a-h-A-M-F-C-M","RF-12561","An-12BK","RUS AF"
"142e3b","a-h-A-M-F-C-M","RA-11835","An-12BP","RUS AF"
"142e44","a-h-A-M-F-C-M","RA-11844","An-12BP","RUS AF"
"142e65","a-h-A-M-F-C-M","RA-11877","An-12BP","RUS AF"
"142e89","a-h-A-M-F-C-M","RA-11913","An-12BP","RUS AF"
"142e94","a-h-A-M-F-C-M","RA-11924","An-12BP","RUS AF"
"142e9b","a-h-A-M-F-C-M","RA-11931","An-12BP","RUS AF"
"142ea9","a-h-A-M-F-C-M","RA-11945","An-12BP","RUS AF"
"142ec1","a-h-A-M-F-C-M","RA-11969","An-12BP","RUS AF"
"142ed8","a-h-A-M-F-C-M","RA-11992","An-12BP","RUS AF"
"142f4f","a-h-A-M-F-C-M","RA-12111","An-12BP","RUS AF"
"142f53","a-h-A-M-F-C-M","RA-12115","An-12BP","RUS AF"
"142f5c","a-h-A-M-F-J","RA-12124","An-12PPS","RUS AF"
"142f61","a-h-A-M-F-C-M","RA-12129","An-12BP","RUS AF"
"142f63","a-h-A-M-F-C-M","RA-12131","An-12BP","RUS AF"
"142f64","a-h-A-M-F-C-M","RA-12132","An-12BP","RUS AF"
"142f65","a-h-A-M-F-C-M","RA-12133","An-12BP","RUS AF"
"142f69","a-h-A-M-F-C-M","RA-12137","An-12BP","RUS AF"
"142f9a","a-h-A-M-F-C-M","RA-12186","An-12AP","RUS AF"
"14302a","a-h-A-M-F-C-M","RA-12330","An-12BP","RUS AF"
"14311e","a-h-A-M-F-C-M","RA-12574","An-12BP","RUS AF"
"1431a5","a-h-A-M-F-C-M","RA-12709","An-12C","RUS AF"
"1432a8","a-h-A-M-F-C-M","RA-12968","An-12TB","RUS AF"
"143433","a-h-A-M-F-C-M","RA-13363","An-12BP","RUS AF"
"14345a","a-h-A-M-F-C-M","RA-13402","An-12BP","RUS AF"
"14626e","a-h-A-M-H-U-L","RF-19002","Mi-8PS","RUS AF"
"14633d","a-h-A-M-H-C-M","RA-25405","Mi-8MTV1","RUS AF"
"146634","a-h-A-M-F-C-M","RF-26265","An-26","RUS AF"
"146672","a-h-A-M-F-R-X","RA-26226","An-30","RUS AF"
"146811","a-h-A-M-F-C-M","RA-26641","An-26","RUS AF"
"146849","a-h-A-M-F-C-M","RF-46543","An-26","RUS N"
"14757e","a-h-A-M-F-R-X","RA-30078","An-30","RUS AF"
"14a126","a-h-A-M-F-C-M","RA-41254","An-140 100","RUS AF"
"14a127","a-h-A-M-F-C-M","RA-41255","An-140 100","RUS AF"
"14a12a","a-h-A-M-F-C-M","RA-41258","An-140 100","RUS AF"
"14a12b","a-h-A-M-F-C-M","RA-41259","An-140 100","RUS AF"
"14a12c","a-h-A-M-F-C-M","RA-41260","An-140 100","RUS AF"
"14b3b7","a-h-A-M-F-C-M","RA-46007","An-26","RUS AF"
"14b576","a-h-A-M-F-C-M","RA-46454","An-26","RUS AF"
"14b57a","a-h-A-M-F-C-M","RA-46458","An-26","RUS AF"
"14b670","a-h-A-M-F-C-M","RA-46704","An-26","RUS AF"
"14b673","a-h-A-M-F-C-M","RA-46707","An-26","RUS AF"
"14b8ee","a-h-A-M-F-C-M","RA-47342","An-26","RUS AF"
"14b92e","a-h-A-M-F-C-M","RF-93993","An-26","RUS AF"
"14b92f","a-h-A-M-F-C-M","RA-47407","An-26","RUS AF"
"14b933","a-h-A-M-F-C-M","RA-47411","An-26","RUS AF"
"14f116","a-h-A-M-F-C-M","RA-61718","An-148 100","RUS AF"
"14f119","a-h-A-M-F-C-M","RA-61721","An-148 100E","RUS AF"
"14f11a","a-h-A-M-F-C-M","RA-61722","An-148 100E","RUS AF"
"14f11b","a-h-A-M-F-C-M","RA-61723","An-148 100E","RUS AF"
"14f11c","a-h-A-M-F-C-M","RA-61724","An-148 100E","RUS AF"
"14f11d","a-h-A-M-F-C-M","RA-61725","An-148 100E","RUS AF"
"14f11e","a-h-A-M-F-C-M","RA-61726","An-148 100E","RUS AF"
"14f120","a-h-A-M-F-C-M","RA-61728","An-148 100E","RUS AF"
"14f121","a-h-A-M-F-C-M","RA-61729","An-148 100E","RUS AF"
"14f122","a-h-A-M-F-C-M","RA-61730","An-148 100E","RUS AF"
"14F125","a-h-A-M-F-C-M","RA-61733","An-148 100E","RUS AF"
"14F126","a-h-A-M-F-C-M","RA-61734","An-148 100E","RUS AF"
"14f127","a-h-A-M-F-U-M","RF-61735","An-148 100E","RUS AF"
"14f90d","a-h-A-M-F-C-M","RF-66001","Tu-134AK","RUS N"
"14f91f","a-h-A-M-F-C-M","RF-90789","Tu-134AK","RUS AF"
"14f958","a-h-A-M-F-C-M","RF-66008","Tu-134AK","RUS AF"
"14f9e7","a-h-A-M-F-C-M","RF-66009","Tu-134AK","RUS AF"
"14fbc6","a-h-A-M-F-C-M","RA-64454","Tu-134IK","RUS AF"
"14fc02","a-h-A-M-F-R-Z","RF-64514","Tu-214R","RUS AF"
"14fc07","a-h-A-M-F-R-X","RF-64519","Tu-214ON","RUS AF"
"14fc09","a-h-A-M-F-C-M","RA-64521","TU-214","Rossiya"
"14fc0d","a-h-A-M-F-R-X","RF-64525","Tu-214ON","RUS AF"
"14fc11","a-h-A-M-F-C-M","RA-64529","Tu-214","RUS AF"
"14fc12","a-h-A-M-F-C-M","RA-64530","Tu-214","RUS AF"
"150025","a-h-A-M-F-C-M","RA-65573","Tu-134A","RUS AF"
"15008f","a-h-A-M-F-C-M","RA-65679","Tu-134A","RUS AF"
"150090","a-h-A-M-F-C-M","RA-65680","Tu-134A3","RUS AF"
"150091","a-h-A-M-F-C-M","RA-65681","Tu-134A3","RUS AF"
"150094","a-h-A-M-F-C-M","RF-66052","Tu-134AK","RUS AF"
"150095","a-h-A-M-F-C-M","RF-90915","Tu-134A3","RUS AF"
"150098","a-h-A-M-F-C-M","RF-94247","Tu-134AK","RUS AF"
"150099","a-h-A-M-F-C-M","RA-65689","Tu-134A","RUS AF"
"15009a","a-h-A-M-F-C-M","RA-65690","Tu-134A","RUS AF"
"1500c1","a-h-A-M-F-C-M","RA-65729","Tu-134AK","RUS AF"
"1501ad","a-h-A-M-F-C-M","RA-65965","Tu-134A","RUS AF"
"1501b8","a-h-A-M-F-C-M","RA-65976","Tu-134AK","RUS AF"
"1501bc","a-h-A-M-F-C-M","RF-94296","Tu-134A","RUS N"
"1501be","a-h-A-M-F-C-M","RA-65982","Tu-134A-3","RUS AF"
"1501c0","a-h-A-M-F-C-M","RA-65984","Tu-134A-3","RUS AF"
"1501c2","a-h-A-M-F-C-M","RA-65986","Tu-134A","RUS AF"
"1501c5","a-h-A-M-F-C-M","RA-65989","Tu-134A","RUS AF"
"1501c6","a-h-A-M-F-C-M","RF-65990","Tu-134A-3","RUS AF"
"1501c7","a-h-A-M-F-C-M","RF-95951","Tu-134A-3","RUS AF"
"1501c8","a-h-A-M-F-C-M","RF-65992","Tu-134AK","RUS AF"
"1501cc","a-h-A-M-F-C-M","RA-65996","Tu-134AK-3","RUS AF"
"1501cd","a-h-A-M-F-C-M","RA-65997","Tu-134","RUS AF"
"151cd2","a-h-A-M-F-C-M","RF-72029","An-72","RUS N"
"151cd3","a-h-A-M-F-C-M","RA-72915","An-72","RUS N"
"151cd4","a-h-A-M-F-C-M","RA-72916","An-72","RUS AF"
"151cd7","a-h-A-M-F-C-M","RF-72919","An-72","RUS AF"
"151cd8","a-h-A-M-F-C-M","RF-72920","An-72","RUS AF"
"151cdd","a-h-A-M-F-C-M","RA-72925","An-72","RUS AF"
"151ce2","a-h-A-M-F-C-M","RA-72930","An-72","RUS AF"
"151cea","a-h-A-M-F-C-M","RF-95690","An-72","RUS AF"
"151ced","a-h-A-M-F-C-M","RA-72941","An-72","RUS AF"
"151cef","a-h-A-M-F-C-M","RF-72502","An-72","RUS AF"
"151cf1","a-h-A-M-F-C-M","RF-90372","An-72","RUS AF"
"151cf2","a-h-A-M-F-C-M","RA-72946","An-72","RUS AF"
"151cf3","a-h-A-M-F-C-M","RA-72947","An-72","RUS AF"
"151cf6","a-h-A-M-F-C-M","RA-72950","An-72","RUS N"
"151cf9","a-h-A-M-F-C-M","RF-90453","An-72","RUS AF"
"151cfa","a-h-A-M-F-C-M","RA-72954","An-72","RUS AF"
"151cfb","a-h-A-M-F-C-M","RF-72031","An-72","RUS N"
"151d02","a-h-A-M-F-C-M","RA-72962","An-72","RUS AF"
"151d03","a-h-A-M-F-C-M","RA-72963","An-72","RUS AF"
"151d04","a-h-A-M-F-C-M","RF-72964","An-72","RUS AF"
"151d05","a-h-A-M-F-C-M","RA-72965","An-72","RUS AF"
"151d07","a-h-A-M-F-C-M","RA-72967","An-72","RUS AF"
"151d08","a-h-A-M-F-C-M","RF-90452","An-72","RUS AF"
"151d09","a-h-A-M-F-C-M","RF-90371","An-72","RUS AF"
"151d0b","a-h-A-M-F-C-M","RF-90317","An-72","RUS AF"
"151d0c","a-h-A-M-F-C-M","RF-46546","An-72","RUS N"
"151d0d","a-h-A-M-F-C-M","RF-72033","An-72","RUS N"
"1526be","a-h-A-M-F-Y","RF-75939","IL-18D","RUS AF"
"1526c8","a-h-A-M-F-Y","RF-75937","IL-18D","RUS AF"
"1526d6","a-h-A-M-F-Y","RF-75478","IL-18","RUS AF"
