#TAK ADSB IDs US ARMY
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"a11cf8","a-f-A-M-F-U-M","17-01609","C-147A","US A"
"adfd6c","a-f-A-M-V","90-00527","C-26B","US A"
"adfd71","a-f-A-M-V","89-0515","C-26B","US A"
"adfd76","a-f-A-M-V","91-0506","C-26E","US A"
"adfd7b","a-f-A-M-F-U-M","91-0511","C-26B","US A"
"adfd86","a-f-A-M-V","94-00259","C-26E","US A"
"adfdd0","a-f-A-M-V","92-03328","C-12R","US A"
"adfdd1","a-f-A-M-V","92-03329","C-12R","US A"
"adfe47","a-f-A-M-F-U-L","94-00315","C-12R","US A"
"adfe4a","a-f-A-M-F-U-L","94-00318","UC-12V","US A"
"adfe4b","a-f-A-M-F-U-L","94-00319","C-12V","US A"
"adfe4c","a-f-A-M-V","94-00320","C-12V","US A"
"adfe4d","a-f-A-M-V","94-00321","C-12V","US A"
"adfe53","a-f-A-M-V","94-00324","C-12R","US A"
"adfe54","a-f-A-M-V","94-00325","C-12V","US A"
"adfe93","a-f-A-M-V","95-00094","C-12V","US A"
"adfe9a","a-f-A-M-V","95-00101","C-12V","US A"
"adfebb","a-f-A-M-V","95-00123","UC-35A","US A"
"adfebc","a-f-A-M-V","95-00124","UC-35A","US A"
"adfec9","a-f-A-M-V","84-00182","C-12U-3","US A"
"adfecc","a-f-A-M-V","84-00486","C-12T","US A"
"adfed0","a-f-A-M-V","85-51262","C-12U","US A"
"adfed3","a-f-A-M-V","85-51265","C-12U","US A"
"adfed4","a-f-A-M-V","85-51266","C-12U","US A"
"adfed6","a-f-A-M-V","85-51268","C-12T","US A"
"adfedb","a-f-A-M-V","86-00085","C-12T-2","US A"
"adfedc","a-f-A-M-V","86-00086","C-12T-2","US A"
"adfede","a-f-A-M-F-U-L","86-00088","C-12T2","US A"
"adfee0","a-f-A-M-V","87-0160","C-12F","US A"
"adfee1","a-f-A-M-V","87-0161","C-12T-1","US A"
"ae0133","a-f-A-M-V","97-00102","UC-35A","US A"
"ae036e","a-f-A-M-V","98-00008","UC-35A","US A"
"ae036f","a-f-A-M-V","98-00009","UC-35A","US A"
"ae03f7","a-f-A-M-V","84-00150","C-12U-3","US A"
"ae03fa","a-f-A-M-V","84-00146","C-12T","US A"
"ae03fb","a-f-A-M-V","84-00143","C-12U-3","US A"
"ae0401","a-f-A-M-V","84-00156","C-12U","US A"
"ae0402","a-f-A-M-V","84-00157","C-12U","US A"
"ae0403","a-f-A-M-V","84-00158","C-12U-3","US A"
"ae0405","a-f-A-M-V","97-01944","C-37A","US A"
"ae04ab","a-f-A-M-V","99-00102","UC-35A","US A"
"ae04f2","a-f-A-M-V","84-00162","C-12U","US A"
"ae04f4","a-f-A-M-V","84-00165","C-12U","US A"
"ae0630","a-f-A-M-V","84-00172","C-12T-3","US A"
"ae0632","a-f-A-M-V","84-00179","C-12T-3","US A"
"ae08f8","a-f-A-M-V","84-24375","C-12U","US A"
"ae08f9","a-f-A-M-V","84-24376","C-12U","US A"
"ae08fa","a-f-A-M-V","84-24377","C-12U","US A"
"ae08fb","a-f-A-M-V","84-24378","C-12U-2","US A"
"ae08fc","a-f-A-M-V","84-24379","C-12U-2","US A"
"ae08fd","a-f-A-M-V","84-24380","C-12U-2","US A"
"ae093d","a-f-A-M-V","01-00301","UC-35B","US A"
"ae099f","a-f-A-M-H-U-M","95-26601","UH-60L","US A"
"ae09a2","a-f-A-M-H-U-M","95-26606","UH-60L","US A"
"ae0a22","a-f-A-M-H-U-M","90-26281","UH-60","US A"
"ae0a28","a-f-A-M-H-U-M","90-26297","UH-60L","US A"
"ae0af8","a-f-A-M-H-U-M","86-24516","UH-60A","US A"
"ae0b9a","a-f-A-M-H-U-M","86-24483","UH-60","US A"
"ae0c01","a-f-A-M-H-U-M","87-24626","UH-60L","US A"
"ae0c4a","a-f-A-M-H-U-M","85-24458","UH-60","US A"
"ae0c52","a-f-A-M-H-U-M","87-24580","UH-60A","US A"
"ae0caa","a-f-A-M-H-U-M","83-23907","UH-60L","US A"
"ae0cc8","a-f-A-M-H-U-M","91-26345","UH-60L","US A"
"ae0cca","a-f-A-M-H-U-M","91-26347","UH-60L","US A"
"ae0d84","a-f-A-M-H-U-M","89-26136","UH-60A","US A"
"ae0dea","a-f-A-M-H-U-M","95-26626","UH-60","US A"
"ae0e0b","a-f-A-M-H-U-M","83-23921","UH-60A","US A"
"ae0eaa","a-f-A-M-H-O","88-26055","UH-60A","US A"
"ae116a","a-f-A-M-V","84-00166","C-12U-3","US A"
"ae116b","a-f-A-M-V","84-00167","C-12F","US A"
"ae1191","a-f-A-M-V","03-00016","UC-35B","US A"
"ae1205","a-f-A-M-F-R-Z","89-00274","RC-12X","US A"
"ae1211","a-f-A-M-F-U-L","03-00726","UC-35B","US A"
"ae182b","a-f-A-M-H-U-M","01-26883","UH-60L","US A"
"ae1c2d","a-f-A-M-H-U-L","06-72005","UH-72A","US A"
"ae1c33","a-f-A-M-H-U-L","07-72011","UH-72A","US A"
"ae1c38","a-f-A-M-H-U-L","07-72016","UH-72A","US A"
"ae1f25","a-f-A-M-H-U-L","07-72022","UH-72A","US A"
"ae1f2a","a-f-A-M-H-U-L","07-72027","UH-72A","US A"
"ae1f2d","a-f-A-M-H-U-L","07-72030","UH-72A","US A"
"ae1f30","a-f-A-M-H-U-L","07-72033","UH-72A","US A"
"ae1f39","a-f-A-M-H-U-L","07-72042","UH-72","US A"
"ae1f3a","a-f-A-M-H-U-L","08-72043","UH-72A","US A"
"ae1f3f","a-f-A-M-H-U-L","08-72048","UH-72A","US A"
"ae1f4e","a-f-A-M-H-U-L","08-72063","UH-72","US A"
"ae1f59","a-f-A-M-H-U-L","08-72074","UH-72A","US A"
"ae1f62","a-f-A-M-H-U-L","08-72083","UH-72","US A"
"ae1f64","a-f-A-M-H-U-L","09-72085","UH-72A","US A"
"ae1f6e","a-f-A-M-H-U-L","09-72095","UH-72A","US A"
"ae1f71","a-f-A-M-H-U-L","09-72098","UH-72","US A"
"ae1f73","a-f-A-M-H-U-L","09-72100","UH-72A","US A"
"ae1f7d","a-f-A-M-H-U-L","09-72110","UH-72A","US A"
"ae1f82","a-f-A-M-H-U-L","09-72115","UH-72A","US A"
"ae1f90","a-f-A-M-H-U-L","10-72129","UH-72A","US A"
