#TAK ADSB IDs USAF CARGO
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"adfdb6","a-f-A-M-F-C-M","93-1036","C-130H","USAF"
"adfdb8","a-f-A-M-F-C-M","93-1038","C-130H","USAF"
"adfdc7","a-f-A-M-F-C-M","93-1561","C-130H","USAF"
"adfdc8","a-f-A-M-F-C-M","93-1562","C-130H","USAF"
"adfdcb","a-f-A-M-F-C-M","93-2042","C-130H","USAF"
"adfdd7","a-f-A-M-F-C-M","95-1001","C-130H","USAF"
"adfdd8","a-f-A-M-F-C-M","95-1002","C-130H","USAF"
"adfdde","a-f-A-M-F-C-M","94-7317","C-130H","USAF"
"adfde1","a-f-A-M-F-C-M","94-7310","C-130H","USAF"
"adfde7","a-f-A-M-F-C-M","94-6702","C-130H","USAF"
"adfdea","a-f-A-M-F-C-M","94-6705","C-130H","USAF"
"adfdec","a-f-A-M-F-C-M","94-6707","C-130H","USAF"
"adfe5c","a-f-A-M-F-C-M","90-1793","C-130H","USAF"
"adfe5e","a-f-A-M-F-C-M","90-1795","C-130H","USAF"
"adfe61","a-f-A-M-F-C-M","90-1798","C-130H","USAF"
"adfe65","a-f-A-M-F-C-M","91-1234","C-130H","USAF"
"adfe66","a-f-A-M-F-C-M","91-1235","C-130","USAF"
"adfe68","a-f-A-M-F-C-M","91-1237","C-130H","USAF"
"adfe69","a-f-A-M-F-C-M","91-1238","C-130H","USAF"
"adfe6e","a-f-A-M-F-C-M","92-1531","C-130H","USAF"
"adfe73","a-f-A-M-F-C-M","92-1536","C-130H","USAF"
"adfe76","a-f-A-M-F-C-M","92-1451","C-130H","USAF"
"adfe78","a-f-A-M-F-C-M","92-1453","C-130H","USAF"
"adfe7b","a-f-A-M-F-C-M","92-3282","C-130H","USAF"
"adfe7d","a-f-A-M-F-C-M","92-3284","C-130H","USAF"
"adfe7e","a-f-A-M-F-C-M","92-3285","C-130H","USAF"
"adfe7f","a-f-A-M-F-C-M","92-3286","C-130H","USAF"
"adfe82","a-f-A-M-F-C-M","92-0547","C-130H","USAF"
"adfe87","a-f-A-M-F-C-M","92-0552","C-130H","USAF"
"adfea0","a-f-A-M-F-C-M","94-7320","C-130H","USAF"
"adfea2","a-f-A-M-F-C-M","96-7322","C-130H","USAF"
"adfea6","a-f-A-M-F-C-M","96-1003","C-130H","USAF"
"adfeaa","a-f-A-M-F-C-M","96-1007","C-130H","USAF"
"adfeab","a-f-A-M-F-C-M","96-1008","C-130H","USAF"
"ae0245","a-f-A-M-F-C-M","94-8151","C-130J","USAF"
"ae0246","a-f-A-M-F-C-M","94-8152","C-130J","USAF"
"ae0250","a-f-A-M-F-C-M","97-1353","C-130J","USAF"
"ae0251","a-f-A-M-F-C-M","97-1354","C-130J","USAF"
"ae0255","a-f-A-M-F-C-M","98-1357","C-130J","USAF"
"ae02c6","a-f-A-M-F-C-M","89-9102","C-130H","USAF"
"ae02c9","a-f-A-M-F-C-M","89-9105","C-130H","USAF"
"ae02d1","a-f-A-M-F-C-M","92-3021","C-130H","USAF"
"ae02d3","a-f-A-M-F-C-M","92-3023","C-130H","USAF"
"ae02d4","a-f-A-M-F-C-M","92-3024","C-130H","USAF"
"ae053e","a-f-A-M-F-C-H","69-0024","C-5M","USAF"
"ae055b","a-f-A-M-F-C-H","84-0060","C-5M","USAF"
"ae055c","a-f-A-M-F-C-H","84-0061","C-5M","USAF"
"ae055e","a-f-A-M-F-C-H","85-0001","C-5M","USAF"
"ae055f","a-f-A-M-F-C-H","85-0002","C-5M","USAF"
"ae0560","a-f-A-M-F-C-H","85-0003","C-5M","USAF"
"ae0561","a-f-A-M-F-C-H","85-0004","C-5M","USAF"
"ae0563","a-f-A-M-F-C-H","85-0006","C-5M","USAF"
"ae0565","a-f-A-M-F-C-H","85-0008","C-5M","USAF"
"ae0568","a-f-A-M-F-C-H","86-0011","C-5M","USAF"
"ae056a","a-f-A-M-F-C-H","86-0013","C-5M","USAF"
"ae056b","a-f-A-M-F-C-H","86-0014","C-5M","USAF"
"ae056e","a-f-A-M-F-C-H","86-0017","C-5M","USAF"
"ae056f","a-f-A-M-F-C-H","86-0018","C-5M","USAF"
"ae0575","a-f-A-M-F-C-H","86-0024","C-5M","USAF"
"ae0579","a-f-A-M-F-C-H","87-0028","C-5M","USAF"
"ae057a","a-f-A-M-F-C-H","87-0029","C-5M","USAF"
"ae057b","a-f-A-M-F-C-H","87-0030","C-5M","USAF"
"ae0581","a-f-A-M-F-C-H","87-0036","C-5M","USAF"
"ae0587","a-f-A-M-F-C-H","87-0042","C-5M","USAF"
"ae0589","a-f-A-M-F-C-H","87-0044","C-5M","USAF"
"ae058a","a-f-A-M-F-C-H","87-0045","C-5M","USAF"
"ae05e1","a-f-A-M-F-C-M","87-9285","C-130H","USAF"
"ae0607","a-f-A-M-F-C-M","76-3301","LC-130H","USAF"
"ae0608","a-f-A-M-F-C-M","76-3302","LC-130R","USAF"
"ae061c","a-f-A-M-F-C-M","84-0206","C-130H","USAF"
"ae0676","a-f-A-M-F-C-H","00-0171","C-17","USAF"
"ae0677","a-f-A-M-F-C-H","00-0172","C-17A","USAF"
"ae0679","a-f-A-M-F-C-H","00-0174","C-17","USAF"
"ae07ce","a-f-A-M-F-C-H","89-1190","C-17A","USAF"
"ae07cf","a-f-A-M-F-C-H","89-1191","C-17A","USAF"
"ae07d4","a-f-A-M-F-C-H","90-0535","C-17A","USAF"
"ae07d6","a-f-A-M-F-C-H","92-3292","C-17A","USAF"
"ae07d9","a-f-A-M-F-C-H","93-0599","C-17A","USAF"
"ae07da","a-f-A-M-F-C-H","93-0600","C-17","USAF"
"ae07dc","a-f-A-M-F-C-H","93-0602","C-17A","USAF"
"ae07dd","a-f-A-M-F-C-H","93-0603","C-17","USAF"
"ae07df","a-f-A-M-F-C-H","94-0065","C-17A","USAF"
"ae07e0","a-f-A-M-F-C-H","94-0066","C-17","USAF"
"ae07e2","a-f-A-M-F-C-H","94-0068","C-17A","USAF"
