#TAK ADSB IDs USAF TANKERS
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator","icontype"

"adfedf","a-f-A-M-F-K","62-3558","KC-135R","USAF",""
"adff0c","a-f-A-M-F-K","60-0335","KC-135T","USAF",""
"adff0d","a-f-A-M-F-K","62-3559","KC-135R","USAF",""
"ae012f","a-f-A-M-F-K","79-1950","KC-10A","USAF",""
"ae0137","a-f-A-M-F-K","63-7978","KC-135R","USAF",""
"ae0139","a-f-A-M-F-K","63-8003","KC-135R","USAF",""
"ae013a","a-f-A-M-F-K","59-1488","KC-135R","USAF",""
"ae013b","a-f-A-M-F-K","57-1435","KC-135R","USAF",""
"ae013d","a-f-A-M-F-K","64-14839","KC-135R","USAF",""
"ae013e","a-f-A-M-F-K","63-7981","KC-135R","USAF",""
"ae013f","a-f-A-M-F-K","60-0358","KC-135R","USAF",""
"ae0140","a-f-A-M-F-K","62-3553","KC-135R","USAF",""
"ae0141","a-f-A-M-F-K","59-1510","KC-135T","USAF",""
"ae0143","a-f-A-M-F-K","58-0035","KC-135R","USAF",""
"ae0144","a-f-A-M-F-K","58-0060","KC-135R","USAF",""
"ae0145","a-f-A-M-F-K","62-3547","KC-135R","USAF",""
"ae0146","a-f-A-M-F-K","59-1482","KC-135R","USAF",""
"ae0147","a-f-A-M-F-K","57-1462","KC-135R","USAF",""
"ae0148","a-f-A-M-F-K","58-0098","KC-135R","USAF",""
"ae0148","a-f-A-M-F-K","58-0098","KC-135R","USAF",""
"ae0149","a-f-A-M-F-K","57-1468","KC-135R","USAF",""
"ae014a","a-f-A-M-F-K","59-1466","KC-135R","USAF",""
"ae014b","a-f-A-M-F-K","59-1522","KC-135R","USAF",""
"ae014C","a-f-A-M-F-K","63-8025","KC-135R","USAF",""
"ae014d","a-f-A-M-F-K","58-0023","KC-135R","USAF",""
"ae014e","a-f-A-M-F-K","63-8872","KC-135R","USAF",""
"ae014f","a-f-A-M-F-K","63-8036","KC-135R","USAF",""
"ae014f","a-f-A-M-F-K","63-8036","KC-135R","USAF",""
"ae0150","a-f-A-M-F-K","57-1430","KC-135R","USAF",""
"ae0151","a-f-A-M-F-K","57-1493","KC-135R","USAF",""
"ae0153","a-f-A-M-F-K","63-8002","KC-135R","USAF",""
"ae0154","a-f-A-M-F-K","63-8045","KC-135R","USAF",""
"ae0155","a-f-A-M-F-K","62-3507","KC-135R","USAF",""
"ae0156","a-f-A-M-F-K","57-1456","KC-135R","USAF",""
"ae0157","a-f-A-M-F-K","58-0083","KC-135R","USAF",""
"ae0158","a-f-A-M-F-K","58-0112","KC-135T","USAF",""
"ae0159","a-f-A-M-F-K","57-1512","KC-135R","USAF",""
"ae015a","a-f-A-M-F-K","57-2598","KC-135R","USAF",""
"ae015d","a-f-A-M-F-K","63-8879","KC-135R","USAF",""
"ae015d","a-f-A-M-F-K","63-8879","KC-135R","USAF",""
"ae015e","a-f-A-M-F-K","59-1512","KC-135T","USAF",""
"ae015f","a-f-A-M-F-K","58-0119","KC-135R","USAF",""
"ae0162","a-f-A-M-F-K","63-8022","KC-135R","USAF",""
"ae0163","a-f-A-M-F-K","58-0052","KC-135R","USAF",""
"ae01e0","a-f-A-M-F-K","86-0029","KC-10A","USAF",""
"ae0214","a-f-A-M-F-K","83-0076","KC-10","USAF",""
"ae0215","a-f-A-M-F-K","83-0078","KC-10A","USAF",""
"ae021e","a-f-A-M-F-K","84-0191","KC-10","USAF",""
"ae0221","a-f-A-M-F-K","85-0029","KC-10A","USAF",""
"ae0230","a-f-A-M-F-K","87-0117","KC-10","USAF",""
"ae0237","a-f-A-M-F-K","61-0315","KC-135R","USAF",""
"ae0238","a-f-A-M-F-K","58-0074","KC-135T","USAF",""
"ae0239","a-f-A-M-F-K","63-7977","KC-135R","USAF",""
"ae023b","a-f-A-M-F-K","57-1440","KC-135R","USAF",""
"ae023b","a-f-A-M-F-K","57-1440","KC-135R","USAF",""
"ae023c","a-f-A-M-F-K","63-8888","KC-135R","USAF",""
"ae023d","a-f-A-M-F-K","58-0121","KC-135R","USAF",""
"ae023e","a-f-A-M-F-K","64-14835","KC-135R","USAF",""
"ae0240","a-f-A-M-F-K","59-1513","KC-135T","USAF",""
"ae0241","a-f-A-M-F-K","63-8021","KC-135R","USAF",""
"ae0242","a-f-A-M-F-K","58-0065","KC-135T","USAF",""
"ae0243","a-f-A-M-F-K","58-0047","KC-135T","USAF",""
"ae0244","a-f-A-M-F-K","63-8044","KC-135R","USAF",""
"ae024d","a-f-A-M-F-K","62-3506","KC-135R","USAF",""
"ae025c","a-f-A-M-F-K","58-0034","KC-135R","USAF",""
"ae025d","a-f-A-M-F-K","58-0092","KC-135R","USAF",""
"ae025e","a-f-A-M-F-K","61-0264","KC-135R","USAF",""
"ae025f","a-f-A-M-F-K","61-0280","KC-135R","USAF",""
"ae0261","a-f-A-M-F-K","61-0310","KC-135R","USAF",""
"ae0262","a-f-A-M-F-K","61-0321","KC-135R","USAF",""
"ae0263","a-f-A-M-F-K","61-0324","KC-135R","USAF",""
"ae0264","a-f-A-M-F-K","60-0355","KC-135R","USAF",""
"ae0265","a-f-A-M-F-K","57-1436","KC-135R","USAF",""
"ae0267","a-f-A-M-F-K","57-1483","KC-135R","USAF",""
"ae0269","a-f-A-M-F-K","57-2603","KC-135R","USAF",""
"ae026b","a-f-A-M-F-K","62-3515","KC-135R","USAF",""
"ae026c","a-f-A-M-F-K","62-3516","KC-135R","USAF",""
"ae026d","a-f-A-M-F-K","62-3576","KC-135R","USAF",""
"ae026e","a-f-A-M-F-K","63-7987","KC-135R","USAF",""
"ae026f","a-f-A-M-F-K","63-8012","KC-135R","USAF",""
"ae0270","a-f-A-M-F-K","63-8038","KC-135R","USAF",""
"ae0271","a-f-A-M-F-K","63-8881","KC-135R","USAF",""
"ae0272","a-f-A-M-F-K","64-14840","KC-135R","USAF",""
"ae0359","a-f-A-M-F-K","57-1439","KC-135R","USAF",""
"ae035c","a-f-A-M-F-K","58-0062","KC-135T","USAF",""
"ae035d","a-f-A-M-F-K","58-0063","KC-135R","USAF",""
"ae035e","a-f-A-M-F-K","58-0077","KC-135T","USAF",""
"ae035f","a-f-A-M-F-K","58-0085","KC-135R","USAF",""
"ae0361","a-f-A-M-F-K","59-1444","KC-135R","USAF",""
"ae0362","a-f-A-M-F-K","59-1453","KC-135R","USAF",""
"ae0363","a-f-A-M-F-K","60-0341","KC-135R","USAF",""
"ae0365","a-f-A-M-F-K","61-0314","KC-135R","USAF",""
"ae0366","a-f-A-M-F-K","62-3575","KC-135R","USAF",""
"ae0367","a-f-A-M-F-K","63-8011","KC-135R","USAF",""
"ae0368","a-f-A-M-F-K","63-8013","KC-135R","USAF",""
"ae036a","a-f-A-M-F-K","63-7985","KC-135R","USAF",""
"ae0371","a-f-A-M-F-K","59-1483","KC-135R","USAF",""
"ae0372","a-f-A-M-F-K","60-0367","KC-135R","USAF",""
"ae0374","a-f-A-M-F-K","57-1508","KC-135R","USAF",""
"ae0375","a-f-A-M-F-K","58-0042","KC-135T","USAF",""
"ae0376","a-f-A-M-F-K","60-0318","KC-135R","USAF",""
"ae0378","a-f-A-M-F-K","62-3541","KC-135R","USAF",""
"ae0379","a-f-A-M-F-K","63-7992","KC-135R","USAF",""
"ae037a","a-f-A-M-F-K","63-7993","KC-135R","USAF",""
"ae037c","a-f-A-M-F-K","63-8026","KC-135R","USAF",""
"ae037e","a-f-A-M-F-K","63-8887","KC-135R","USAF",""
"ae0380","a-f-A-M-F-K","57-1454","KC-135R","USAF",""
"ae0381","a-f-A-M-F-K","57-1506","KC-135R","USAF",""
"ae0383","a-f-A-M-F-K","58-0079","KC-135R","USAF",""
"ae0384","a-f-A-M-F-K","59-1458","KC-135R","USAF",""
"ae0385","a-f-A-M-F-K","59-1467","KC-135T","USAF",""
"ae0386","a-f-A-M-F-K","59-1468","KC-135T","USAF",""
"ae0387","a-f-A-M-F-K","59-1472","KC-135R","USAF",""
"ae0388","a-f-A-M-F-K","61-0292","KC-135R","USAF",""
"ae0389","a-f-A-M-F-K","62-3514","KC-135R","USAF",""
"ae038a","a-f-A-M-F-K","62-3531","KC-135R","USAF",""
"ae038b","a-f-A-M-F-K","62-3543","KC-135R","USAF",""
"ae038c","a-f-A-M-F-K","62-3573","KC-135R","USAF",""
"ae038d","a-f-A-M-F-K","63-7976","KC-135R","USAF",""
"ae038e","a-f-A-M-F-K","63-7982","KC-135R","USAF",""
"ae038f","a-f-A-M-F-K","63-7996","KC-135R","USAF",""
"ae0391","a-f-A-M-F-K","63-8039","KC-135R","USAF",""
"ae0392","a-f-A-M-F-K","63-8880","KC-135R","USAF",""
"ae0393","a-f-A-M-F-K","63-8885","KC-135R","USAF",""
"ae0394","a-f-A-M-F-K","64-14832","KC-135R","USAF",""
"ae041d","a-f-A-M-F-K","57-1486","KC-135R","USAF",""
"ae041d","a-f-A-M-F-K","57-1486","KC-135R","USAF",""
"ae041e","a-f-A-M-F-K","57-1487","KC-135R","USAF",""
"ae041f","a-f-A-M-F-K","57-1488","KC-135R","USAF",""
"ae0420","a-f-A-M-F-K","58-0072","KC-135T","USAF",""
"ae0421","a-f-A-M-F-K","58-0089","KC-135T","US AF",""
"ae0422","a-f-A-M-F-K","59-1499","KC-135R","USAF",""
"ae0423","a-f-A-M-F-K","59-1505","KC-135R","USAF",""
"ae0424","a-f-A-M-F-K","60-0333","KC-135R","USAF",""
"ae0426","a-f-A-M-F-K","60-0363","KC-135R","USAF",""
"ae0427","a-f-A-M-F-K","61-0290","KC-135R","USAF",""
"ae0428","a-f-A-M-F-K","62-3511","KC-135T","USAF",""
"ae042b","a-f-A-M-F-K","63-8030","KC-135R","USAF",""
"ae042c","a-f-A-M-F-K","64-14828","KC-135R","USAF",""
"ae042d","a-f-A-M-F-K","64-14834","KC-135R","USAF",""
"ae042e","a-f-A-M-F-K","64-14837","KC-135R","USAF",""
"ae0470","a-f-A-M-F-K","57-1428","KC-135R","USAF",""
"ae0471","a-f-A-M-F-K","57-1451","KC-135R","USAF",""
"ae0472","a-f-A-M-F-K","57-1459","KC-135R","USAF",""
"ae0474","a-f-A-M-F-K","57-2599","KC-135R","USAF",""
