#TAK ADSB IDs USAF TRAINERS
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"adfc60","a-f-A-M-F-T","91-0077","T-1A","USAF #trainer"
"adfc63","a-f-A-M-F-T","90-0405","T-1A","USAF #trainer"
"adfc65","a-f-A-M-F-T","90-0404","T-1A","USAF #trainer"
"adfc66","a-f-A-M-F-T","90-0401","T-1A","USAF #trainer"
"adfc69","a-f-A-M-F-T","90-0407","T-1A","USAF #trainer"
"adfc6e","a-f-A-M-F-T","90-0411","T-1A","USAF #trainer"
"adfc6f","a-f-A-M-F-T","90-0413","T-1A","USAF #trainer"
"adfc78","a-f-A-M-F-T","91-0084","T-1A","USAF #trainer"
"adfc79","a-f-A-M-F-T","91-0085","T-1A","USAF #trainer"
"adfc7a","a-f-A-M-F-T","91-0086","T-1A","USAF #trainer"
"adfc7f","a-f-A-M-F-T","91-0091","T-1A","USAF #trainer"
"adfc89","a-f-A-M-F-T","91-0101","T-1A","USAF #trainer"
"adfc8b","a-f-A-M-F-T","92-0330","T-1A","USAF #trainer"
"adfc92","a-f-A-M-F-T","92-0337","T-1A","USAF #trainer"
"adfc94","a-f-A-M-F-T","92-0339","T-1A","USAF #trainer"
"adfc98","a-f-A-M-F-T","92-0343","T-1A","USAF #trainer"
"adfc9c","a-f-A-M-F-T","92-0347","T-1A","USAF #trainer"
"adfc9f","a-f-A-M-F-T","92-0350","T-1A","USAF #trainer"
"adfca0","a-f-A-M-F-T","92-0351","T-1A","USAF #trainer"
"adfca1","a-f-A-M-F-T","92-0352","T-1A","USAF #trainer"
"adfca2","a-f-A-M-F-T","92-0353","T-1A","USAF #trainer"
"adfca4","a-f-A-M-F-T","92-0355","T-1A","USAF #trainer"
"adfca5","a-f-A-M-F-T","92-0356","T-1A","USAF #trainer"
"adfcae","a-f-A-M-F-T","93-0622","T-1A","USAF #trainer"
"adfcba","a-f-A-M-F-T","93-0634","T-1A","USAF #trainer"
"adfcbc","a-f-A-M-F-T","93-0636","T-1A","USAF #trainer"
"adfcc3","a-f-A-M-F-T","93-0643","T-1A","USAF #trainer"
"adfcc4","a-f-A-M-F-T","93-0644","T-1A","USAF #trainer"
"adfcc5","a-f-A-M-F-T","93-0645","T-1A","USAF #trainer"
"adfcc7","a-f-A-M-F-T","93-0647","T-1A","USAF #trainer"
"adfcc8","a-f-A-M-F-T","93-0648","T-1A","USAF #trainer"
"adfcca","a-f-A-M-F-T","93-0650","T-1A","USAF #trainer"
"adfccd","a-f-A-M-F-T","93-0653","T-1A","USAF #trainer"
"adfcce","a-f-A-M-F-T","93-0654","T-1A","USAF #trainer"
"adfcd0","a-f-A-M-F-T","93-0656","T-1A","USAF #trainer"
"adfcd1","a-f-A-M-F-T","94-0114","T-1A","USAF #trainer"
"adfcd2","a-f-A-M-F-T","94-0115","T-1A","USAF #trainer"
"adfcd3","a-f-A-M-F-T","94-0116","T-1A","USAF #trainer"
"adfcd4","a-f-A-M-F-T","94-0117","T-1A","USAF #trainer"
"adfcd6","a-f-A-M-F-T","94-0119","T-1A","USAF #trainer"
"adfcd7","a-f-A-M-F-T","94-0120","T-1A","USAF #trainer"
"adfcd9","a-f-A-M-F-T","94-0122","T-1A","USAF #trainer"
"adfcda","a-f-A-M-F-T","94-0123","T-1A","USAF #trainer"
"adfcda","a-f-A-M-F-T","94-0123","T-1A","USAF #trainer"
"adfcdc","a-f-A-M-F-T","94-0125","T-1A","USAF #trainer"
"adfcde","a-f-A-M-F-T","94-0127","T-1A","USAF #trainer"
"adfce2","a-f-A-M-F-T","94-0131","T-1A","USAF #trainer"
"adfce4","a-f-A-M-F-T","94-0133","T-1A","USAF #trainer"
"adfce8","a-f-A-M-F-T","94-0137","T-1A","USAF #trainer"
"adfcef","a-f-A-M-F-T","94-0144","T-1A","USAF #trainer"
"adfcf1","a-f-A-M-F-T","94-0146","T-1A","USAF #trainer"
"adfcf6","a-f-A-M-F-T","95-0042","T-1A","USAF #trainer"
"adfd07","a-f-A-M-F-T","95-0059","T-1A","USAF #trainer"
"adfd0e","a-f-A-M-F-T","95-0066","T-1A","USAF #trainer"
"adfd0f","a-f-A-M-F-T","95-0067","T-1A","USAF #trainer"
"adff06","a-f-A-M-F-T","95-3004","T-6","USAF #trainer"
"adff08","a-f-A-M-F-T","95-3006","T-6","USAF #trainer"
"adff3c","a-f-A-M-F-T","64-13189","T-38C","USAF #trainer"
"adff3e","a-f-A-M-F-T","64-13263","T-38","USAF #trainer"
"adff3f","a-f-A-M-F-T","64-13279","T-38","USAF #trainer"
"adff41","a-f-A-M-F-T","65-10317","T-38C","USAF #trainer"
"adff42","a-f-A-M-F-T","65-10343","T-38C","USAF #trainer"
"adff43","a-f-A-M-F-T","65-10390","T-38","USAF #trainer"
"adff44","a-f-A-M-F-T","65-10440","T-38","USAF #trainer"
"adff45","a-f-A-M-F-T","65-10458","T-38C","USAF #trainer"
"adff48","a-f-A-M-F-T","65-10469","T-38","USAF #trainer"
"adff4c","a-f-A-M-F-T","66-4382","T-38","USAF #trainer"
"adff4d","a-f-A-M-F-T","66-4389","T-38C","USAF #trainer"
"adff4e","a-f-A-M-F-T","66-8399","T-38C","USAF #trainer"
"adff4f","a-f-A-M-F-T","66-8403","T-38C","USAF #trainer"
"adff53","a-f-A-M-F-T","67-14917","T-38","USAF #trainer"
"adff59","a-f-A-M-F-T","68-8132","T-38C","USAF #trainer"
"adff5c","a-f-A-M-F-T","68-8136","T-38C","USAF #trainer"
"adff5f","a-f-A-M-F-T","68-8190","T-38C","USAF #trainer"
"adff5f","a-f-A-M-F-T","68-8190","T-38C","USAF #trainer"
"adff60","a-f-A-M-F-T","68-8191","T-38","USAF #trainer"
"adff61","a-f-A-M-F-T","68-8213","T-38","USAF #trainer"
"adff62","a-f-A-M-F-T","69-7083","T-38","USAF #trainer"
"adff64","a-f-A-M-F-T","69-7087","T-38C","USAF #trainer"
"adff66","a-f-A-M-F-T","70-1554","T-38C","USAF #trainer"
"adff6c","a-f-A-M-F-T","65-10374","T-38C","USAF #trainer"
"adff75","a-f-A-M-F-T","66-4378","T-38C","USAF #trainer"
"adff79","a-f-A-M-F-T","67-14850","T-38C","USAF #trainer"
"adff7c","a-f-A-M-F-T","67-14930","T-38C","USAF #trainer"
"adff7e","a-f-A-M-F-T","67-14957","T-38C","USAF #trainer"
"adff82","a-f-A-M-F-T","68-8104","T-38","USAF #trainer"
"adff85","a-f-A-M-F-T","68-8122","T-38C","USAF #trainer"
"adff88","a-f-A-M-F-T","68-8192","T-38","USAF #trainer"
"adff8a","a-f-A-M-F-T","68-8151","T-38C","USAF #trainer"
"adff8c","a-f-A-M-F-T","68-8162","T-38C","USAF #trainer"
"adff8d","a-f-A-M-F-T","68-8163","T-38C","USAF #trainer"
"adff8f","a-f-A-M-F-T","68-8166","T-38","USAF #trainer"
"adff90","a-f-A-M-F-T","68-8167","T-38C","USAF #trainer"
"adff91","a-f-A-M-F-T","68-8170","T-38C","USAF #trainer"
"adff95","a-f-A-M-F-T","68-8188","T-38C","USAF #trainer"
"adff99","a-f-A-M-F-T","68-8202","T-38C","USAF #trainer"
"adff9a","a-f-A-M-F-T","68-8207","T-38","USAF #trainer"
"adff9b","a-f-A-M-F-T","68-8208","T-38C","USAF #trainer"
"adff9c","a-f-A-M-F-T","68-8211","T-38C","USAF #trainer"
"adffa4","a-f-A-M-F-T","70-1567","T-38C","USAF #trainer"
"adffa5","a-f-A-M-F-T","70-1569","T-38C","USAF #trainer"
"adffa9","a-f-A-M-F-T","70-1590","T-38C","USAF #trainer"
"adffaa","a-f-A-M-F-T","70-1952","T-38C","USAF #trainer"
"adffaa","a-f-A-M-F-T","70-1952","T-38C","USAF #trainer"
"adffab","a-f-A-M-F-T","64-13183","T-38C","USAF #trainer"
"adffb2","a-f-A-M-F-T","64-13222","T-38C","USAF #trainer"
"adffb5","a-f-A-M-F-T","64-13255","T-38C","USAF #trainer"
"adffb8","a-f-A-M-F-T","64-13272","T-38C","USAF #trainer"
"adffb9","a-f-A-M-F-T","64-13282","T-38C","USAF #trainer"
"adffc3","a-f-A-M-F-T","65-10384","T-38C","USAF #trainer"
"adffc4","a-f-A-M-F-T","65-10388","T-38C","USAF #trainer"
"adffc9","a-f-A-M-F-T","65-10412","T-38C","USAF #trainer"
"adffcb","a-f-A-M-F-T","65-10416","T-38C","USAF #trainer"
"adffcf","a-f-A-M-F-T","65-10427","T-38","USAF #trainer"
"adffd6","a-f-A-M-F-T","65-10467","T-38","USAF #trainer"
"adffda","a-f-A-M-F-T","66-4330","T-38C","USAF #trainer"
"adffdc","a-f-A-M-F-T","66-4337","T-38C","USAF #trainer"
"adffe1","a-f-A-M-F-T","66-4380","T-38C","USAF #trainer"
"adffe3","a-f-A-M-F-T","66-8400","T-38","USAF #trainer"
"adffe4","a-f-A-M-F-T","67-14840","T-38","USAF #trainer"
"adffe5","a-f-A-M-F-T","67-14844","T-38C","USAF #trainer"
"adffe8","a-f-A-M-F-T","67-14916","T-38C","USAF #trainer"
"adffee","a-f-A-M-F-T","67-14955","T-38","USAF #trainer"
"adfff2","a-f-A-M-F-T","68-8147","T-38","USAF #trainer"
"adfff4","a-f-A-M-F-T","68-8192","T-38","USAF #trainer"
"adfff7","a-f-A-M-F-T","70-1551","T-38C","USAF #trainer"
"adfff8","a-f-A-M-F-T","70-1553","T-38C","USAF #trainer"
"adfff9","a-f-A-M-F-T","70-1561","T-38C","USAF #trainer"
"ae0001","a-f-A-M-F-T","64-13199","T-38C","USAF #trainer"
"ae0003","a-f-A-M-F-T","64-13225","T-38C","USAF #trainer"
"ae0004","a-f-A-M-F-T","64-13235","T-38","USAF #trainer"
"ae0005","a-f-A-M-F-T","64-13233","T-38","USAF #trainer"
"ae0006","a-f-A-M-F-T","64-13289","T-38","USAF #trainer"
"ae0009","a-f-A-M-F-T","65-10335","T-38","USAF #trainer"
"ae000a","a-f-A-M-F-T","65-10340","T-38C","USAF #trainer"
"ae000b","a-f-A-M-F-T","65-10349","T-38","USAF #trainer"
